id,symbols,countries,date,value
297,BRL,Brazilian Real,2023-08-13,5.38066
298,BRL,Brazilian Real,2023-08-14,5.413085
299,BRL,Brazilian Real,2023-08-15,5.418052
300,BSD,Bahamian Dollar,2023-08-01,1.101165
301,BSD,Bahamian Dollar,2023-08-02,1.095911
302,BSD,Bahamian Dollar,2023-08-03,1.09467
303,BSD,Bahamian Dollar,2023-08-04,1.10286
304,BSD,Bahamian Dollar,2023-08-05,1.094338
305,BSD,Bahamian Dollar,2023-08-06,1.093251
306,BSD,Bahamian Dollar,2023-08-07,1.099628
307,BSD,Bahamian Dollar,2023-08-08,1.0956
308,BSD,Bahamian Dollar,2023-08-09,1.097807
309,BSD,Bahamian Dollar,2023-08-10,1.09812
310,BSD,Bahamian Dollar,2023-08-11,1.096316
311,BSD,Bahamian Dollar,2023-08-12,1.099216
312,BSD,Bahamian Dollar,2023-08-13,1.099218
313,BSD,Bahamian Dollar,2023-08-14,1.093581
314,BSD,Bahamian Dollar,2023-08-15,1.095265
315,BTC,Bitcoin,2023-08-01,3.7175796e-05
316,BTC,Bitcoin,2023-08-02,3.7574421e-05
317,BTC,Bitcoin,2023-08-03,3.7511534e-05
318,BTC,Bitcoin,2023-08-04,3.7856443e-05
319,BTC,Bitcoin,2023-08-05,3.7848263e-05
320,BTC,Bitcoin,2023-08-06,3.7785583e-05
321,BTC,Bitcoin,2023-08-07,3.761219e-05
322,BTC,Bitcoin,2023-08-08,3.6783915e-05
323,BTC,Bitcoin,2023-08-09,3.7107282e-05
324,BTC,Bitcoin,2023-08-10,3.7279557e-05
325,BTC,Bitcoin,2023-08-11,3.7245291e-05
326,BTC,Bitcoin,2023-08-12,3.7181098e-05
327,BTC,Bitcoin,2023-08-13,3.7177752e-05
328,BTC,Bitcoin,2023-08-14,3.692666e-05
329,BTC,Bitcoin,2023-08-15,3.7169739e-05
330,BTN,Bhutanese Ngultrum,2023-08-01,90.59315
331,BTN,Bhutanese Ngultrum,2023-08-02,90.516717
332,BTN,Bhutanese Ngultrum,2023-08-03,90.580525
333,BTN,Bhutanese Ngultrum,2023-08-04,91.30812
334,BTN,Bhutanese Ngultrum,2023-08-05,90.602597
335,BTN,Bhutanese Ngultrum,2023-08-06,90.512587
336,BTN,Bhutanese Ngultrum,2023-08-07,90.972728
337,BTN,Bhutanese Ngultrum,2023-08-08,90.714332
338,BTN,Bhutanese Ngultrum,2023-08-09,90.943879
339,BTN,Bhutanese Ngultrum,2023-08-10,90.951543
340,BTN,Bhutanese Ngultrum,2023-08-11,90.830606
341,BTN,Bhutanese Ngultrum,2023-08-12,91.079128
342,BTN,Bhutanese Ngultrum,2023-08-13,91.079329
343,BTN,Bhutanese Ngultrum,2023-08-14,90.712942
344,BTN,Bhutanese Ngultrum,2023-08-15,90.853059
345,BWP,Botswanan Pula,2023-08-01,14.547301
346,BWP,Botswanan Pula,2023-08-02,14.592648
347,BWP,Botswanan Pula,2023-08-03,14.682288
348,BWP,Botswanan Pula,2023-08-04,14.832431
349,BWP,Botswanan Pula,2023-08-05,14.717823
350,BWP,Botswanan Pula,2023-08-06,14.703201
351,BWP,Botswanan Pula,2023-08-07,14.760255
352,BWP,Botswanan Pula,2023-08-08,14.775702
353,BWP,Botswanan Pula,2023-08-09,14.855802
354,BWP,Botswanan Pula,2023-08-10,14.779688
355,BWP,Botswanan Pula,2023-08-11,14.795731
356,BWP,Botswanan Pula,2023-08-12,14.834864
357,BWP,Botswanan Pula,2023-08-13,14.834897
358,BWP,Botswanan Pula,2023-08-14,14.827601
359,BWP,Botswanan Pula,2023-08-15,14.850776
360,BYN,New Belarusian Ruble,2023-08-01,2.779522
361,BYN,New Belarusian Ruble,2023-08-02,2.766104
362,BYN,New Belarusian Ruble,2023-08-03,2.762953
363,BYN,New Belarusian Ruble,2023-08-04,2.7836
364,BYN,New Belarusian Ruble,2023-08-05,2.762091
365,BYN,New Belarusian Ruble,2023-08-06,2.759347
366,BYN,New Belarusian Ruble,2023-08-07,2.776078
367,BYN,New Belarusian Ruble,2023-08-08,2.765306
368,BYN,New Belarusian Ruble,2023-08-09,2.771023
369,BYN,New Belarusian Ruble,2023-08-10,2.771676
370,BYN,New Belarusian Ruble,2023-08-11,2.767368
371,BYN,New Belarusian Ruble,2023-08-12,2.774688
372,BYN,New Belarusian Ruble,2023-08-13,2.774694
373,BYN,New Belarusian Ruble,2023-08-14,2.760779
374,BYN,New Belarusian Ruble,2023-08-15,2.765005
375,BYR,Belarusian Ruble,2023-08-01,21574.971676
376,BYR,Belarusian Ruble,2023-08-02,21449.823605
377,BYR,Belarusian Ruble,2023-08-03,21464.750171
378,BYR,Belarusian Ruble,2023-08-04,21608.743333
379,BYR,Belarusian Ruble,2023-08-05,21608.743333
380,BYR,Belarusian Ruble,2023-08-06,21564.76174
381,BYR,Belarusian Ruble,2023-08-07,21565.484797
382,BYR,Belarusian Ruble,2023-08-08,21478.863593
383,BYR,Belarusian Ruble,2023-08-09,21515.645497
384,BYR,Belarusian Ruble,2023-08-10,21523.547368
385,BYR,Belarusian Ruble,2023-08-11,21488.775113
386,BYR,Belarusian Ruble,2023-08-12,21488.775113
387,BYR,Belarusian Ruble,2023-08-13,21488.822432
388,BYR,Belarusian Ruble,2023-08-14,21421.938171
389,BYR,Belarusian Ruble,2023-08-15,21393.635313
390,BZD,Belize Dollar,2023-08-01,2.219697
391,BZD,Belize Dollar,2023-08-02,2.208971
392,BZD,Belize Dollar,2023-08-03,2.206397
393,BZD,Belize Dollar,2023-08-04,2.22295
394,BZD,Belize Dollar,2023-08-05,2.205774
395,BZD,Belize Dollar,2023-08-06,2.203582
396,BZD,Belize Dollar,2023-08-07,2.216514
397,BZD,Belize Dollar,2023-08-08,2.208304
398,BZD,Belize Dollar,2023-08-09,2.213008
399,BZD,Belize Dollar,2023-08-10,2.213567
400,BZD,Belize Dollar,2023-08-11,2.209985
401,BZD,Belize Dollar,2023-08-12,2.21583
402,BZD,Belize Dollar,2023-08-13,2.215835
403,BZD,Belize Dollar,2023-08-14,2.204257
404,BZD,Belize Dollar,2023-08-15,2.207661
405,CAD,Canadian Dollar,2023-08-01,1.460708
406,CAD,Canadian Dollar,2023-08-02,1.460334
407,CAD,Canadian Dollar,2023-08-03,1.462144
408,CAD,Canadian Dollar,2023-08-04,1.475514
409,CAD,Canadian Dollar,2023-08-05,1.475514
410,CAD,Canadian Dollar,2023-08-06,1.47163
411,CAD,Canadian Dollar,2023-08-07,1.471283
412,CAD,Canadian Dollar,2023-08-08,1.471467
413,CAD,Canadian Dollar,2023-08-09,1.473087
414,CAD,Canadian Dollar,2023-08-10,1.476499
415,CAD,Canadian Dollar,2023-08-11,1.473462
416,CAD,Canadian Dollar,2023-08-12,1.473462
417,CAD,Canadian Dollar,2023-08-13,1.472439
418,CAD,Canadian Dollar,2023-08-14,1.471502
419,CAD,Canadian Dollar,2023-08-15,1.467598
420,CDF,Congolese Franc,2023-08-01,2658.344437
421,CDF,Congolese Franc,2023-08-02,2642.924627
422,CDF,Congolese Franc,2023-08-03,2672.14266
423,CDF,Congolese Franc,2023-08-04,2690.068446
424,CDF,Congolese Franc,2023-08-05,2690.068446
425,CDF,Congolese Franc,2023-08-06,2684.593011
426,CDF,Congolese Franc,2023-08-07,2684.682965
427,CDF,Congolese Franc,2023-08-08,2673.899693
428,CDF,Congolese Franc,2023-08-09,2678.478212
429,CDF,Congolese Franc,2023-08-10,2679.462078
430,CDF,Congolese Franc,2023-08-11,2675.133625
431,CDF,Congolese Franc,2023-08-12,2675.133625
432,CDF,Congolese Franc,2023-08-13,2675.139223
433,CDF,Congolese Franc,2023-08-14,2677.742226
434,CDF,Congolese Franc,2023-08-15,2674.20435
435,CHF,Swiss Franc,2023-08-01,0.960515
436,CHF,Swiss Franc,2023-08-02,0.960175
437,CHF,Swiss Franc,2023-08-03,0.957482
438,CHF,Swiss Franc,2023-08-04,0.961952
439,CHF,Swiss Franc,2023-08-05,0.962038
440,CHF,Swiss Franc,2023-08-06,0.961843
441,CHF,Swiss Franc,2023-08-07,0.960435
442,CHF,Swiss Franc,2023-08-08,0.959618
443,CHF,Swiss Franc,2023-08-09,0.962606
444,CHF,Swiss Franc,2023-08-10,0.962926
445,CHF,Swiss Franc,2023-08-11,0.961296
446,CHF,Swiss Franc,2023-08-12,0.961372
447,CHF,Swiss Franc,2023-08-13,0.961374
448,CHF,Swiss Franc,2023-08-14,0.958342
449,CHF,Swiss Franc,2023-08-15,0.957213
450,CLF,Chilean Unit of Account (UF),2023-08-01,0.033575
451,CLF,Chilean Unit of Account (UF),2023-08-02,0.03351
452,CLF,Chilean Unit of Account (UF),2023-08-03,0.033789
453,CLF,Chilean Unit of Account (UF),2023-08-04,0.034038
454,CLF,Chilean Unit of Account (UF),2023-08-05,0.033757
455,CLF,Chilean Unit of Account (UF),2023-08-06,0.033855
456,CLF,Chilean Unit of Account (UF),2023-08-07,0.034257
457,CLF,Chilean Unit of Account (UF),2023-08-08,0.034173
458,CLF,Chilean Unit of Account (UF),2023-08-09,0.034288
459,CLF,Chilean Unit of Account (UF),2023-08-10,0.033687
460,CLF,Chilean Unit of Account (UF),2023-08-11,0.033901
461,CLF,Chilean Unit of Account (UF),2023-08-12,0.033901
462,CLF,Chilean Unit of Account (UF),2023-08-13,0.033723
463,CLF,Chilean Unit of Account (UF),2023-08-14,0.034008
464,CLF,Chilean Unit of Account (UF),2023-08-15,0.034021
465,CLP,Chilean Peso,2023-08-01,926.436125
466,CLP,Chilean Peso,2023-08-02,924.62935
467,CLP,Chilean Peso,2023-08-03,932.347452
468,CLP,Chilean Peso,2023-08-04,939.212907
469,CLP,Chilean Peso,2023-08-05,931.462205
470,CLP,Chilean Peso,2023-08-06,934.160913
471,CLP,Chilean Peso,2023-08-07,945.249775
472,CLP,Chilean Peso,2023-08-08,942.943926
473,CLP,Chilean Peso,2023-08-09,946.106766
474,CLP,Chilean Peso,2023-08-10,929.520827
475,CLP,Chilean Peso,2023-08-11,935.430935
476,CLP,Chilean Peso,2023-08-12,930.518772
477,CLP,Chilean Peso,2023-08-13,930.520821
478,CLP,Chilean Peso,2023-08-14,938.510503
479,CLP,Chilean Peso,2023-08-15,938.754628
